Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500006287,0.0,7,0,0.0,2.0,4.0,2.0,A01
201100015061,0.0,1,0,1.0,0.0,1.0,2.0,A01
201100064053,0.0,7,0,0.0,1.0,3.0,1.0,A01
200500061328,0.0,4,0,0.0,2.0,1.0,1.0,B01
200700058268,0.0,30,0,0.0,2.0,1.0,16.0,A01
200900059816,0.0,33,0,12.0,0.0,2.0,1.0,A01
201200048706,0.0,33,0,0.0,2.0,8.0,3.0,B01
200700061345,0.0,33,0,0.0,0.0,2.0,0.0,B02
201400005393,0.0,3,0,0.0,2.0,7.0,18.0,A01
201500002124,0.0,33,0,0.0,2.0,8.0,1.0,B02
200900073805,0.0,7,0,0.0,2.0,1.0,15.0,B01
201500011410,0.0,7,0,0.0,0.0,4.0,2.0,C03
200700062878,0.0,2,0,0.0,2.0,1.0,1.0,A01
201000057738,0.0,7,0,0.0,2.0,1.0,13.0,A01
200900008016,0.0,7,0,0.0,2.0,1.0,15.0,A01
200700003560,0.0,7,0,0.0,2.0,3.0,15.0,A01
201500018339,0.0,30,0,0.0,2.0,1.0,1.0,B02
201100019430,0.0,7,0,1.0,2.0,4.0,1.0,B01
201200051874,0.0,7,0,0.0,2.0,8.0,11.0,A01
201500027056,0.0,7,0,0.0,2.0,4.0,0.0,B01
201300026806,0.0,10,0,0.0,2.0,2.0,1.0,B01
200900005966,0.0,2,0,14.0,0.0,7.0,14.0,A01
201100015661,0.0,40,0,0.0,2.0,1.0,1.0,B01
200900037233,0.0,32,0,0.0,2.0,1.0,1.0,B01
201200053745,0.0,7,0,0.0,1.0,4.0,4.0,A01
201000066517,0.0,32,0,0.0,2.0,2.0,1.0,B01
200600013272,0.0,1,0,0.0,0.0,1.0,1.0,B01
200800047571,0.0,7,0,6.0,0.0,1.0,1.0,A01
201300052297,0.0,33,0,1.0,0.0,1.0,3.0,B01
200800049047,0.0,7,0,0.0,2.0,3.0,1.0,B02
201200029517,0.0,7,0,3.0,0.0,1.0,1.0,A01
201100043633,0.0,1,0,0.0,0.0,0.0,1.0,B01
200800003816,0.0,7,0,0.0,1.0,1.0,15.0,A01
201500016211,0.0,7,0,0.0,2.0,3.0,2.0,A01
201400023658,0.0,7,0,0.0,0.0,0.0,16.0,A01
200800007676,0.0,30,0,0.0,1.0,8.0,1.0,A01
200500014838,0.0,10,0,0.0,2.0,1.0,1.0,A01
200600076093,0.0,2,0,0.0,2.0,0.0,1.0,A01
200700003706,0.0,7,0,0.0,2.0,1.0,1.0,B01
200600059308,0.0,33,0,0.0,2.0,1.0,1.0,B02
200500011523,0.0,7,0,0.0,2.0,3.0,1.0,B02
200600040670,0.0,7,0,0.0,1.0,4.0,4.0,A01
200700041614,0.0,7,0,0.0,2.0,2.0,20.0,A01
201600023630,1.0,10,0,0.0,1.0,4.0,4.0,A01
201600007272,0.0,7,0,0.0,2.0,3.0,1.0,B02
200500041548,0.0,5,0,0.0,0.0,7.0,1.0,A01
201600006918,2.0,7,0,0.0,1.0,4.0,1.0,C03
201500006763,0.0,7,0,0.0,2.0,2.0,21.0,A01
201200054103,0.0,1,0,0.0,2.0,4.0,1.0,A01
201200011768,0.0,7,0,0.0,2.0,6.0,0.0,B01
200700044536,0.0,7,0,4.0,2.0,4.0,23.0,E01
200900050046,0.0,30,0,0.0,2.0,4.0,2.0,B01
201600001241,1.0,7,0,13.0,0.0,9.0,17.0,A01
200600017298,0.0,31,0,13.0,0.0,8.0,21.0,A01
201100041894,0.0,30,0,0.0,2.0,1.0,15.0,B01
201500056022,0.0,7,0,0.0,1.0,6.0,4.0,A01
200900012466,0.0,2,0,0.0,2.0,1.0,1.0,A01
201600010420,1.0,10,0,0.0,2.0,6.0,23.0,B01
200900039884,0.0,2,0,0.0,2.0,1.0,1.0,B01
200500057724,0.0,7,0,0.0,2.0,1.0,2.0,B01
200900059730,0.0,7,0,0.0,2.0,1.0,12.0,A01
200500062339,0.0,7,0,0.0,2.0,1.0,0.0,A01
201200030812,0.0,7,0,0.0,1.0,2.0,1.0,A01
201300053363,0.0,34,0,0.0,2.0,2.0,1.0,B01
200900053640,0.0,7,0,0.0,1.0,4.0,4.0,A01
200800052173,0.0,33,0,0.0,2.0,1.0,1.0,B01
