Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201400053584,14,1,24,2020,5,2,2,1.0,3.0,120.0,"1, AVENUE DE LA PORTE DE",,,,750
200800071367,8,12,6,930,1,2,1,1.0,7.0,218.0,"01, FRANCHET D'ESPEREY M",,,,420
201500033498,15,9,29,2005,5,2,1,1.0,1.0,351.0,"12, R MICHEL DELAROCHE",M,4950065.0,10415,760
201600027335,16,1,21,1825,2,2,3,5.0,3.0,201.0,AV AEROPORT/R PIERRELOTI,M,4418600.0,59980,470
201000047600,10,7,7,955,1,2,1,1.0,3.0,549.0,CROIX BLANCHE (AVENUE DE,,,,910
201200034869,12,12,14,2030,5,2,3,3.0,3.0,445.0,25 AV DU LOUP,,,,640
201500046915,15,1,30,1440,1,1,1,1.0,4.0,692.0,RN 118,M,4867182.0,219381,910
201200059076,12,4,12,650,1,2,2,1.0,3.0,120.0,"10, BOULEVARD DAVOUT",,,,750
201100053398,11,3,14,920,1,1,1,1.0,6.0,78.0,AUTOROUTE A104,,,,930
201100056146,11,5,9,2215,5,1,1,1.0,5.0,119.0,ROUTE NATIONALE 230,,,,330
201600026521,16,6,16,1815,1,1,1,1.0,7.0,170.0,"0, R.D 504",M,4603710.0,412623,420
201000014574,10,3,26,2130,3,1,1,1.0,1.0,234.0,,M,4652690.0,221444,180
200800022759,8,2,11,1000,1,1,1,1.0,6.0,524.0,A13,,,,780
200500051461,5,8,12,2315,3,1,1,1.0,7.0,31.0,SAINT MAURICE (ROUTE DE),,,,420
200500081306,5,12,11,1720,2,2,2,1.0,3.0,184.0,"1, CHAILLON (RUE ETIENNE",,,,440
201000025029,10,8,31,1815,1,2,1,1.0,3.0,8.0,rue François  Monier,M,4794400.0,19000,720
200700008629,7,2,1,755,2,1,3,1.0,3.0,32.0,TANNE (AV. DE LA),,,,340
201600011820,16,8,29,1400,1,1,1,1.0,2.0,116.0,,M,0.0,0,830
201200040075,12,6,5,1809,1,2,2,1.0,6.0,85.0,"42, JAURES (RUE JEAN)",,,,870
200600010959,6,2,16,1200,1,2,1,1.0,3.0,388.0,"36, PAUL CAZENEUVE",,,,690
200500042593,5,7,16,230,3,1,1,1.0,1.0,39.0,,M,4345900.0,365800,340
200800034752,8,6,17,1720,1,2,2,1.0,3.0,424.0,VICTOR BORDIER (BOULEVAR,,,,950
201100013882,11,7,2,2230,3,1,1,1.0,2.0,51.0,LA RODERIE,M,4782702.0,236358,450
201400045162,14,5,22,2044,2,2,2,1.0,3.0,68.0,CAR DU 8 MAI 1945,M,4880220.0,249207,940
201600040160,16,6,4,1545,1,2,1,1.0,6.0,14.0,MAURICE AUDIN (ALLEE),,,,930
200700010670,7,2,28,1600,1,2,1,3.0,6.0,10.0,"62, MONTBELIARD (FAUBOUR",,,,900
200900070285,9,9,8,1431,1,1,1,1.0,6.0,136.0,RN 188 PARIS / A 10 PROV,,,,910
