Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201400053584,4.0,0,,,3.0,6.0,,,0.0,1.0,1.0,20.0,250.0,1.0,0.0,1.0,0.0
200800071367,4.0,0,0.0,,2.0,2.0,,,0.0,2.0,3.0,0.0,60.0,8.0,0.0,1.0,0.0
201500033498,4.0,0,,,2.0,2.0,,,0.0,1.0,4.0,0.0,54.0,1.0,0.0,1.0,0.0
201600027335,3.0,931,,E,2.0,2.0,0.0,474.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201000047600,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201200034869,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201500046915,2.0,118,,,3.0,4.0,15.0,0.0,0.0,4.0,1.0,15.0,70.0,2.0,0.0,1.0,99.0
201200059076,4.0,0,,,3.0,1.0,,,0.0,1.0,1.0,60.0,80.0,1.0,0.0,1.0,3.0
201100053398,1.0,104,,,3.0,3.0,5.0,400.0,0.0,1.0,3.0,15.0,105.0,1.0,0.0,2.0,99.0
201100056146,2.0,230,,,3.0,6.0,40.0,700.0,0.0,1.0,1.0,5.0,210.0,1.0,0.0,1.0,99.0
201600026521,3.0,504,,,2.0,2.0,,,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,99.0
201000014574,3.0,3,,,2.0,3.0,13.0,550.0,0.0,2.0,1.0,0.0,109.0,2.0,0.0,1.0,0.0
200800022759,1.0,13,0.0,,3.0,3.0,11.0,700.0,0.0,1.0,0.0,0.0,90.0,1.0,0.0,1.0,99.0
200500051461,3.0,0,0.0,,2.0,2.0,18.0,0.0,0.0,2.0,1.0,0.0,56.0,1.0,0.0,1.0,99.0
200500081306,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0
201000025029,4.0,0,,,2.0,2.0,0.0,0.0,0.0,1.0,3.0,58.0,27.0,1.0,5.0,1.0,0.0
200700008629,9.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201600011820,1.0,8,,,1.0,0.0,54.0,0.0,0.0,1.0,1.0,15.0,130.0,1.0,0.0,1.0,99.0
201200040075,4.0,0,,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0
200600010959,4.0,0,0.0,,2.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200500042593,2.0,113,0.0,,2.0,2.0,53.0,200.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
200800034752,3.0,0,0.0,,3.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100013882,3.0,,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,99.0
201400045162,3.0,123,,,2.0,2.0,,,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,99.0
201600040160,4.0,0,,,2.0,0.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
200700010670,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
200900070285,2.0,188,,,1.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,35.0,1.0,0.0,1.0,0.0
201400017349,3.0,85,,,2.0,2.0,21.0,400.0,0.0,1.0,3.0,,,2.0,0.0,3.0,0.0
200900054326,3.0,8,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,99.0
201100039625,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,99.0
201400034748,3.0,132,,,2.0,2.0,6.0,723.0,0.0,4.0,2.0,0.0,53.0,1.0,5.0,1.0,99.0
201000069055,2.0,1,,,1.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201000049056,3.0,0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,87.0,1.0,0.0,1.0,99.0
200700083191,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
201100025985,4.0,0,,,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200600064619,3.0,0,0.0,,2.0,4.0,,,1.0,1.0,1.0,0.0,64.0,1.0,0.0,5.0,0.0
200800070921,2.0,0,0.0,,2.0,4.0,,,0.0,1.0,1.0,20.0,120.0,1.0,0.0,1.0,99.0
201000060690,4.0,0,,,2.0,3.0,,,0.0,1.0,1.0,2.0,144.0,2.0,0.0,1.0,0.0
200600003871,2.0,0,0.0,,3.0,6.0,,,3.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,99.0
201100062170,4.0,0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0
200800022510,1.0,1,0.0,,3.0,4.0,195.0,800.0,0.0,1.0,1.0,25.0,210.0,1.0,0.0,1.0,0.0
201400050938,2.0,346,,,1.0,2.0,33.0,300.0,0.0,1.0,1.0,15.0,0.0,2.0,0.0,1.0,99.0
200600029102,3.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201600028473,3.0,75,,,2.0,2.0,,,0.0,1.0,1.0,0.0,79.0,2.0,5.0,1.0,99.0
201200008286,3.0,7,,,2.0,2.0,6.0,0.0,0.0,1.0,2.0,46.0,0.0,1.0,0.0,1.0,99.0
201000017404,4.0,0,,,2.0,2.0,,,0.0,1.0,1.0,80.0,66.0,1.0,5.0,1.0,99.0
200700069191,4.0,0,0.0,,2.0,4.0,,,0.0,1.0,1.0,0.0,118.0,7.0,0.0,1.0,99.0
200800048707,3.0,192,0.0,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,51.0,1.0,0.0,1.0,99.0
200600068012,3.0,0,0.0,A,2.0,2.0,,,0.0,3.0,1.0,0.0,70.0,1.0,0.0,0.0,99.0
200500009707,3.0,0,0.0,,2.0,2.0,,,0.0,2.0,1.0,0.0,116.0,1.0,0.0,1.0,99.0
200700043426,2.0,0,0.0,,3.0,4.0,45.0,900.0,0.0,1.0,1.0,0.0,70.0,2.0,0.0,1.0,99.0
200600009089,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,54.0,1.0,0.0,1.0,0.0
200500035806,3.0,0,0.0,,2.0,3.0,6.0,300.0,0.0,2.0,1.0,0.0,117.0,1.0,0.0,1.0,99.0
201000022801,4.0,0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,1.0,0.0,1.0,99.0
201100013640,3.0,21,,,2.0,2.0,15.0,653.0,0.0,2.0,0.0,0.0,130.0,1.0,5.0,1.0,0.0
200700040745,3.0,85,0.0,,2.0,0.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600017880,3.0,93,,,2.0,2.0,58.0,450.0,0.0,1.0,1.0,0.0,69.0,1.0,2.0,1.0,99.0
201500012620,4.0,0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201300008869,2.0,198,,,2.0,2.0,17.0,900.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
200800028079,3.0,18,0.0,,2.0,2.0,62.0,600.0,0.0,2.0,1.0,0.0,61.0,1.0,0.0,1.0,0.0
201100065724,2.0,4,,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200001975,3.0,1,,,2.0,2.0,30.0,102.0,0.0,1.0,1.0,0.0,54.0,1.0,0.0,1.0,0.0
201300004243,3.0,813,,,2.0,1.0,36.0,500.0,0.0,1.0,3.0,0.0,72.0,1.0,0.0,1.0,99.0
200700043000,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,20.0,90.0,1.0,0.0,1.0,99.0
200900010164,3.0,603,,,2.0,2.0,81.0,0.0,0.0,1.0,1.0,15.0,66.0,2.0,0.0,1.0,99.0
200700048917,4.0,1,0.0,A,2.0,2.0,,,0.0,2.0,1.0,0.0,75.0,1.0,0.0,1.0,0.0
201600000588,3.0,149,,,2.0,2.0,77.0,0.0,0.0,1.0,1.0,10.0,62.0,1.0,0.0,1.0,0.0
201100064884,4.0,0,,,1.0,4.0,18.0,300.0,0.0,1.0,1.0,15.0,140.0,1.0,0.0,1.0,0.0
201100066834,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,99.0
200500046703,4.0,0,0.0,,2.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201100001761,3.0,2,,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,70.0,80.0,1.0,5.0,1.0,99.0
201000013043,4.0,0,,,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,80.0,1.0,5.0,1.0,0.0
201000001385,3.0,836,,,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,60.0,2.0,0.0,1.0,0.0
200800044959,3.0,0,0.0,,2.0,3.0,,,3.0,3.0,1.0,0.0,87.0,1.0,0.0,1.0,99.0
200800064702,3.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201200053301,1.0,50,,,3.0,3.0,13.0,0.0,0.0,1.0,1.0,15.0,105.0,1.0,0.0,1.0,0.0
200700047145,4.0,3,0.0,,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,30.0,2.0,0.0,1.0,0.0
201600023621,4.0,,,,2.0,5.0,,,2.0,1.0,1.0,0.0,90.0,1.0,0.0,1.0,0.0
201000062475,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,30.0,1.0,0.0,1.0,0.0
200800070673,4.0,0,0.0,,1.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,0.0,3.0
200700075887,2.0,88,0.0,,2.0,2.0,1.0,700.0,0.0,1.0,1.0,0.0,70.0,0.0,0.0,1.0,0.0
201400003082,3.0,54,,,3.0,1.0,24.0,150.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,99.0
201200012677,1.0,20,,,3.0,2.0,59.0,600.0,0.0,1.0,1.0,25.0,70.0,1.0,0.0,1.0,99.0
200700064163,4.0,0,0.0,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201400027390,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,70.0,2.0,0.0,1.0,0.0
200700042313,4.0,0,0.0,,1.0,1.0,,,0.0,1.0,2.0,40.0,76.0,1.0,0.0,1.0,0.0
200900029544,3.0,8,,,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,99.0
201200053699,4.0,0,,,1.0,3.0,,,0.0,1.0,1.0,0.0,122.0,1.0,0.0,1.0,99.0
200700002098,3.0,1,0.0,A,3.0,4.0,,,0.0,1.0,1.0,27.0,140.0,2.0,0.0,1.0,0.0
200900048436,4.0,0,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
201200030884,4.0,0,,A,1.0,2.0,,,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201000014268,3.0,216,,,2.0,1.0,13.0,750.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200600026130,3.0,0,0.0,,3.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
200900007899,4.0,14,,,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,99.0
201400010142,4.0,0,,,2.0,2.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200500014109,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,195.0,1.0,0.0,1.0,0.0
200600026475,4.0,0,0.0,,2.0,2.0,,,2.0,1.0,1.0,0.0,90.0,1.0,0.0,1.0,0.0
200800039264,4.0,0,0.0,,2.0,3.0,,,1.0,1.0,2.0,0.0,127.0,2.0,0.0,1.0,0.0
200500012005,1.0,75,0.0,A,2.0,2.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200700000226,3.0,712,0.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
201400031734,3.0,917,,,0.0,2.0,43.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,3.0,99.0
201200026646,4.0,0,,,3.0,2.0,,,2.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,99.0
201400003370,3.0,948,,,2.0,3.0,40.0,500.0,0.0,1.0,1.0,150.0,0.0,2.0,0.0,1.0,0.0
200800042376,4.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
200900059311,4.0,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,34.0,1.0,0.0,1.0,99.0
200800014125,2.0,0,0.0,,2.0,2.0,,,0.0,1.0,1.0,0.0,150.0,1.0,0.0,1.0,0.0
201400059374,2.0,1,,,1.0,1.0,19.0,200.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201000003265,4.0,1,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,40.0,0.0,1.0,0.0,1.0,0.0
201500041706,4.0,0,,,2.0,2.0,,,0.0,1.0,2.0,0.0,70.0,2.0,0.0,1.0,99.0
201600044705,2.0,406,,,3.0,2.0,4.0,499.0,0.0,1.0,3.0,30.0,70.0,1.0,0.0,1.0,99.0
200800054738,3.0,0,0.0,,3.0,5.0,5.0,816.0,0.0,1.0,1.0,40.0,150.0,1.0,0.0,1.0,3.0
200900047769,4.0,0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201300040120,4.0,0,,,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200800041929,4.0,0,0.0,,1.0,2.0,,,0.0,1.0,1.0,0.0,120.0,1.0,0.0,1.0,99.0
200700008615,4.0,0,0.0,,1.0,1.0,,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200800056419,3.0,605,0.0,,2.0,2.0,33.0,630.0,0.0,1.0,1.0,0.0,77.0,1.0,0.0,1.0,0.0
