Num_Acc,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh
201000057333,1.0,1,1,1,0.0,11.0,0.0,0.0,0.0,1961.0,C01
200500066048,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1981.0,A01
200900016040,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1983.0,A01
200600057601,0.0,3,4,2,9.0,0.0,0.0,9.0,2.0,1984.0,A01
200600038448,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1988.0,A01
201000036700,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1987.0,A01
201600032856,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1965.0,B01
200800014416,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1977.0,B01
201600044007,1.0,1,4,1,1.0,11.0,0.0,0.0,0.0,1990.0,A01
201200024822,1.0,1,1,2,0.0,13.0,0.0,0.0,0.0,1944.0,A01
201300022790,1.0,1,2,2,5.0,22.0,0.0,0.0,0.0,1983.0,A01
200600012055,1.0,1,3,1,0.0,13.0,0.0,0.0,0.0,1925.0,A01
200500036201,1.0,1,1,2,9.0,11.0,0.0,0.0,0.0,1960.0,A01
201000043879,1.0,1,4,1,5.0,11.0,0.0,0.0,0.0,1980.0,B01
200600018361,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1963.0,B02
201100012821,3.0,2,4,1,0.0,12.0,0.0,0.0,0.0,1992.0,A01
200800032638,0.0,3,4,2,5.0,0.0,2.0,3.0,1.0,1957.0,A01
200900064874,1.0,1,1,2,1.0,11.0,0.0,0.0,0.0,1979.0,C01
200500031914,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1982.0,B01
200500063063,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1962.0,A01
201200045352,3.0,2,4,1,3.0,11.0,0.0,0.0,0.0,2011.0,A01
201300057379,,3,4,2,5.0,,2.0,5.0,1.0,1986.0,A01
200700062221,1.0,1,1,1,5.0,11.0,0.0,0.0,0.0,1952.0,A01
201600005546,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1986.0,B02
200800070279,1.0,1,1,1,0.0,13.0,0.0,0.0,0.0,1978.0,A01
201100042075,1.0,1,4,1,2.0,11.0,0.0,0.0,0.0,1989.0,B01
201100038173,5.0,2,4,1,2.0,11.0,0.0,0.0,0.0,1998.0,B01
200600083449,1.0,1,1,1,4.0,11.0,0.0,0.0,0.0,1957.0,A01
201000013759,1.0,1,4,2,5.0,11.0,0.0,0.0,0.0,1986.0,B02
201400050253,1.0,1,4,1,0.0,13.0,0.0,0.0,0.0,1947.0,B01
200500069649,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1978.0,B01
200500013293,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1988.0,A01
200900068137,3.0,2,1,1,0.0,11.0,0.0,0.0,0.0,1989.0,A01
200700014860,1.0,1,3,1,5.0,11.0,0.0,0.0,0.0,1934.0,B01
200600035509,1.0,1,4,1,5.0,0.0,0.0,0.0,0.0,1992.0,A01
201000012012,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1953.0,B02
200800011534,1.0,1,1,1,5.0,21.0,0.0,0.0,0.0,1980.0,A01
201500045575,1.0,1,4,1,1.0,21.0,0.0,0.0,0.0,1968.0,A01
200500030886,1.0,1,4,2,0.0,11.0,0.0,0.0,0.0,1955.0,B01
201300033633,,3,4,2,9.0,93.0,2.0,3.0,1.0,1995.0,A01
201100027761,5.0,2,1,1,0.0,13.0,0.0,0.0,0.0,1986.0,B01
200700012359,1.0,1,3,1,5.0,13.0,0.0,0.0,0.0,1958.0,A01
201200028575,1.0,1,3,1,0.0,21.0,0.0,0.0,0.0,1947.0,B01
201100048996,1.0,1,1,1,1.0,11.0,0.0,0.0,0.0,1966.0,B01
201300027557,1.0,1,1,2,9.0,13.0,0.0,0.0,0.0,1983.0,B01
200700064194,1.0,1,1,1,9.0,11.0,0.0,0.0,0.0,1958.0,B01
200800059535,2.0,2,1,2,0.0,11.0,0.0,0.0,0.0,1970.0,C01
